104.18.20.66:443#GB [271.94ms 0.26Mbps]
104.18.26.171:443#GB [272.04ms 0.20Mbps]
145.239.85.117:2053#PL [272.32ms 0.40Mbps]
104.18.63.201:443#US [272.36ms 1.06Mbps]
213.35.105.58:443#SG [272.51ms 0.64Mbps]
174.4.69.68:443#CA [272.68ms 0.23Mbps]
147.78.0.186:2053#FR [273.01ms 0.48Mbps]
185.36.140.244:443#SE [273.18ms 0.51Mbps]
5.189.239.36:8443#FI [273.41ms 0.28Mbps]
95.182.90.125:443#SE [273.52ms 1.18Mbps]
151.241.215.143:8443#IT [273.75ms 0.73Mbps]
162.159.157.110:443#GB [273.77ms 0.22Mbps]
104.26.1.114:443#US [273.95ms 1.61Mbps]
141.101.90.118:443#CH [274.00ms 3.21Mbps]
185.114.72.31:2053#ES [274.48ms 0.49Mbps]
162.159.156.238:443#GB [274.51ms 0.24Mbps]
162.159.152.142:443#GB [275.14ms 0.25Mbps]
31.13.248.201:8443#BG [275.31ms 4.26Mbps]
104.18.28.12:443#GB [275.48ms 0.25Mbps]
46.22.211.155:8443#EE [275.96ms 0.33Mbps]
65.109.12.58:2053#FI [276.25ms 0.43Mbps]
43.229.254.182:443#ID [276.39ms 0.48Mbps]
162.159.140.106:443#GB [276.74ms 0.25Mbps]
216.238.82.140:8443#MX [276.86ms 0.94Mbps]
104.18.87.85:443#GB [277.38ms 0.23Mbps]
104.29.125.83:443#GB [277.40ms 0.31Mbps]
95.85.250.1:443#EE [277.77ms 0.18Mbps]
13.140.9.211:443#SE [278.19ms 4.38Mbps]
51.75.32.106:443#PL [278.33ms 0.42Mbps]
5.101.114.177:443#EE [279.06ms 0.70Mbps]
83.147.242.56:8443#ES [279.20ms 0.34Mbps]
5.157.30.2:8443#IE [279.21ms 0.37Mbps]
91.195.254.34:443#AM [279.35ms 0.23Mbps]
104.29.125.178:443#GB [279.51ms 0.26Mbps]
5.181.202.75:443#SE [280.83ms 1.08Mbps]
